Objective;Move;Actions;"Wait Condition";"Cancel Condition"
buy_items;buy_flask;buy_flask;;
;buy_tpscroll;buy_tpscroll;;
;buy_slippers;buy_slippers;;
;buy_circlet;buy_circlet;;
;buy_recipe_wraith_band;buy_recipe_wraith_band;;
;buy_boots;buy_boots;;
;buy_boots_of_elves;buy_boots_of_elves;;
;buy_blades_of_attack;buy_blades_of_attack;;
;buy_two_boots_of_elves;buy_two_boots_of_elves;;
;buy_ogre_axe;buy_ogre_axe;;
;buy_blink;buy_blink;;
;buy_lifesteal;buy_lifesteal;;
;buy_quarterstaff;buy_quarterstaff;;
;buy_observer_ward;buy_observer_ward;;
;deliver_items;deliver_items;;
