Objective;Move;Actions;"Wait Condition";"Cancel Condition"
manage_attack_anim;cancel_attack;cancel_attack;;
;wait_attack;wait_attack;;
;;;;
glyph;do_glyph;do_glyph;;
;;;;
prepare_for_match;buy_starting_items;buy_starting_items;;
;;;;
swap_items;put_item_in_inventory;put_item_in_inventory;;
;swap_mango_for_recovery;swap_mango_for_recovery;;
;swap_ward_for_using;swap_ward_for_using;;
;swap_flask_to_backpack;swap_flask_to_backpack;;
;swap_mango_to_backpack;swap_mango_to_backpack;;
;;;;
item_hp_recovery;heal_faerie_fire;heal_faerie_fire;;
;;;;
evasion;move_safe_recovery;move_safe_spot;wait_move_safe_recovery;cancel_move_safe_recovery
;evade_enemy_hero_low_hp;move_safe_spot;wait_evade_enemy_hero_low_hp;cancel_evade_enemy_hero_low_hp
;evade_enemy_tower;move_safe_spot;wait_evade_enemy_tower;cancel_evade_enemy_tower
;evade_invisible_enemy_hero;move_safe_spot;wait_evade_invisible_enemy_hero;cancel_evade_invisible_enemy_hero
;;;;
upgrade_skills;upgrade;upgrade;;
;;;;
farm;lasthit_enemy_creep;lasthit_enemy_creep;;
;deny_ally_creep;deny_ally_creep;;
;;;;
evasion;evade_enemy_creeps;move_safe_spot;wait_evade_enemy_creeps;cancel_evade_enemy_creeps
;;;;
kite;attack_enemy_hero;attack_enemy_hero;;
;attack_enemy_tower;attack_enemy_tower;;
;move_safe;move_safe;;cancel_move_safe
;;;;
evasion;evade_enemy_hero;move_safe_spot;wait_evade_enemy_hero;cancel_evade_enemy_hero
;;;;
push_lane;use_precision_aura;use_precision_aura;;
;attack_enemy_creep;attack_enemy_creep;;
;kill_enemy_creep;kill_enemy_creep;;
;attack_enemy_tower;attack_enemy_tower;;
;;;;
aggro_control;aggro_last_hit;aggro_last_hit;;
;;stop_attack;;
;aggro_hg;aggro_hg;;
;;stop_attack;;
;;;;
positioning;tp_mid_tower;tp_mid_tower;;
;increase_creeps_distance_aggro;increase_creeps_distance_aggro;;cancel_increase_creeps_distance_aggro
;decrease_creeps_distance_aggro;decrease_creeps_distance_aggro;;cancel_decrease_creeps_distance_aggro
;increase_creeps_distance;increase_creeps_distance;;cancel_increase_creeps_distance
;decrease_creeps_distance_base;decrease_creeps_distance_base;;cancel_decrease_creeps_distance_base
;turn;turn;;cancel_turn
;;;;
keep_equilibrium;attack_enemy_creep;attack_enemy_creep;;
;attack_ally_creep;attack_ally_creep;;
;;;;
warding;plant_ward;plant_ward;;
;;;;
body_block;move_and_block;move_and_block;;
;;stop_attack_and_move;;
;move_start_position;move_start_position;wait_move_start_position;cancel_move_start_position
;turn_enemy_fountain;turn_enemy_fountain;;
;;stop_turn;;
;;;;
force_stop;stop;stop_attack_and_move;;
