Objective;Move;Actions;"Wait Condition";"Cancel Condition"
manage_attack_anim;cancel_attack;cancel_attack;;
;wait_attack;wait_attack;;
;;;;
evade_enemy_nukes;evade_near_shadowraze_back;move_back;wait_evade_near_shadowraze_back;cancel_evade_near_shadowraze_back
;evade_medium_shadowraze_back;move_back;wait_evade_medium_shadowraze_back;cancel_evade_medium_shadowraze_back
;evade_far_shadowraze_back;move_back;wait_evade_far_shadowraze_back;cancel_evade_far_shadowraze_back
;evade_medium_shadowraze_front;move_front;wait_evade_medium_shadowraze_front;cancel_evade_medium_shadowraze_front
;evade_far_shadowraze_front;move_front;wait_evade_far_shadowraze_front;cancel_evade_far_shadowraze_front
;;;;
item_defense;use_hood_vs_near_shadowraze;use_hood;;
;use_hood_vs_medium_shadowraze;use_hood;;
;use_hood_vs_far_shadowraze;use_hood;;
;;;;
item_hp_recovery;heal_faerie_fire;heal_faerie_fire;;
;;;;
item_mp_recovery;use_enchanted_mango;use_enchanted_mango;;
;;;;
nuke_enemy_hero;turn_near_shadowraze;turn_via_attack;wait_turn_near_shadowraze;cancel_turn_near_shadowraze
;near_shadowraze;near_shadowraze;;cancel_near_shadowraze
;turn_medium_shadowraze;turn_via_attack;;cancel_turn_medium_shadowraze
;medium_shadowraze;medium_shadowraze;;cancel_medium_shadowraze
;turn_far_shadowraze;turn_via_attack;;cancel_turn_far_shadowraze
;far_shadowraze;far_shadowraze;;cancel_far_shadowraze
;requiem;requiem;;
;;;;
close_fight;kill_enemy_hero;kill_enemy_hero;;
;;;;
pursuit_enemy_hero;attack_enemy_hero;attack_enemy_hero;;
;move_enemy_hero;move_enemy_hero;;
